Date,Open,High,Low,Price,Volume,Chg%
"Aug 25, 2021",77239.95,77980.00,76737.55,77015.55,12.27,-0.18%
"Aug 24, 2021",76500.00,77401.00,76014.75,77157.95,12.17,1.31%
"Aug 23, 2021",78699.00,78699.00,75950.00,76162.90,14.54,-2.45%
"Aug 20, 2021",79399.00,79399.00,77805.00,78076.95,8.52,-1.60%
"Aug 18, 2021",79099.00,79500.00,78900.00,79347.15,7.01,0.78%
"Aug 17, 2021",78658.80,79165.05,77930.10,78736.60,9.04,0.10%
"Aug 16, 2021",78951.70,79350.00,78110.00,78658.80,8.28,-0.27%
"Aug 13, 2021",78550.00,79200.00,78468.15,78872.85,9.07,0.81%
"Aug 12, 2021",78199.00,78709.95,77605.00,78236.05,13.74,0.82%
"Aug 11, 2021",79000.00,79799.65,77300.00,77603.10,16.58,-1.55%
"Aug 10, 2021",80099.00,80939.95,78200.00,78828.05,22.26,-1.53%
"Aug 09, 2021",79489.95,82664.80,79200.00,80050.65,64.54,1.13%
"Aug 06, 2021",79696.95,80149.75,79000.00,79159.65,10.15,-0.63%
"Aug 05, 2021",80613.90,80722.30,79466.90,79663.25,8.11,-0.98%
"Aug 04, 2021",81019.00,81600.45,80202.00,80453.00,6.97,-0.70%
"Aug 03, 2021",80800.00,81220.00,80512.50,81018.40,5.11,0.74%
"Aug 02, 2021",80499.00,81349.95,80133.30,80420.85,10.58,0.64%
"Jul 30, 2021",79964.70,81140.00,79713.30,79907.45,9.82,0.23%
"Jul 29, 2021",80002.30,80297.80,79451.95,79725.50,5.16,-0.25%
"Jul 28, 2021",80255.55,80545.00,79201.05,79922.75,7.56,-0.22%
"Jul 27, 2021",80925.00,81319.95,79947.85,80095.35,6.58,-1.02%
"Jul 26, 2021",81349.00,81599.55,80700.00,80917.75,5.99,-0.32%
"Jul 23, 2021",81879.95,81969.75,81000.00,81174.85,4.47,-0.49%
"Jul 22, 2021",81650.50,82400.00,81242.55,81572.00,6.12,-0.08%
"Jul 20, 2021",82201.00,82700.00,81402.00,81640.05,7.14,-0.73%
"Jul 19, 2021",81800.00,82964.95,81625.00,82236.30,7.69,-0.26%
"Jul 16, 2021",81950.00,82710.00,81354.90,82449.85,11.22,1.23%
"Jul 15, 2021",82806.00,83254.95,81116.00,81445.20,10.24,-1.64%
"Jul 14, 2021",83000.00,83356.95,82380.60,82806.05,9.79,-0.37%
"Jul 13, 2021",80439.95,83450.00,80001.10,83115.80,35.72,3.65%
"Jul 12, 2021",80300.00,80480.20,79880.00,80187.10,5.75,0.24%
"Jul 09, 2021",80600.00,80699.90,79880.00,79994.70,10.27,-0.53%
"Jul 08, 2021",81000.00,81339.95,80100.00,80417.95,5.87,-0.43%
"Jul 07, 2021",80600.00,81349.85,80300.20,80768.90,10.48,0.40%
"Jul 06, 2021",80890.00,81384.00,80350.00,80449.20,6.73,-0.47%
"Jul 05, 2021",81190.00,81827.75,80600.00,80830.35,8.06,-0.38%
"Jul 02, 2021",81021.10,81489.60,80600.00,81142.30,6.77,0.15%
"Jul 01, 2021",80100.00,81467.85,80100.00,81018.30,9.2,1.17%
"Jun 30, 2021",80300.00,80649.55,79871.00,80079.50,7.18,-0.18%
"Jun 29, 2021",80750.00,80750.00,79527.75,80222.25,14.28,-0.41%
"Jun 28, 2021",80899.00,81148.85,80141.00,80554.65,10.16,0.05%
"Jun 25, 2021",81217.90,81249.05,80375.00,80514.20,7.53,-0.57%
"Jun 24, 2021",82198.00,82198.00,80650.00,80975.00,9.67,-1.21%
"Jun 23, 2021",81750.00,82499.95,81750.00,81970.55,4.8,0.27%
"Jun 22, 2021",82500.00,82500.00,81500.00,81747.25,7.1,-0.04%
"Jun 21, 2021",81000.00,82250.00,81000.00,81777.05,6.93,-1.05%
"Jun 18, 2021",82650.00,83147.40,80500.00,82644.10,32.64,-0.04%
"Jun 17, 2021",81925.00,83295.85,81826.05,82676.40,14.77,0.15%
"Jun 16, 2021",82799.00,83150.00,82350.05,82554.30,10.1,-0.37%
"Jun 15, 2021",82530.50,83357.75,81950.00,82862.70,12.06,0.47%
"Jun 14, 2021",82000.00,83127.95,81271.30,82476.85,11.91,0.37%
"Jun 11, 2021",82572.15,82818.45,81325.20,82171.50,13.3,0.00%
"Jun 10, 2021",80301.00,82325.95,80050.05,82172.15,20.19,2.42%
"Jun 09, 2021",81869.00,81989.00,80009.00,80228.15,19.13,-1.38%
"Jun 08, 2021",82260.00,82455.15,81150.15,81349.20,26.45,-1.28%
"Jun 07, 2021",85598.90,87300.00,82250.00,82400.50,69.85,-2.97%
"Jun 04, 2021",84850.00,85336.00,84240.00,84918.70,11.13,0.53%
"Jun 03, 2021",84705.00,85086.00,83810.00,84471.00,9.67,0.05%
"Jun 02, 2021",82800.00,84776.45,82800.00,84432.65,10.17,1.62%
"Jun 01, 2021",83643.40,84800.00,82811.80,83083.45,11.33,-0.67%
"May 31, 2021",83237.00,83965.00,83000.00,83641.40,10.28,0.31%
"May 28, 2021",83199.00,83650.00,82825.00,83382.10,10.94,0.71%
"May 27, 2021",81599.90,83174.85,81355.60,82794.15,18.21,1.50%
"May 26, 2021",82669.95,82800.00,81400.00,81569.50,10.2,-0.74%
"May 25, 2021",82706.00,83098.95,81921.00,82181.65,11.45,-0.34%
"May 24, 2021",82360.00,83300.00,82000.00,82458.85,15.29,0.34%
"May 21, 2021",81700.00,82483.65,81300.00,82178.20,20.21,1.17%
"May 20, 2021",79800.00,82469.95,79246.35,81231.10,26.04,1.94%
"May 19, 2021",79272.00,80000.00,78340.05,79683.20,19.15,0.52%
